"Year,month",channel_grouping,Leads_per_ad
2019-11,(Other),5.289386289923756
2019-11,Direct,6.026463104784817
2019-11,Display,5.2708851171301205
2019-11,Organic Search,5.862531257142287
2019-11,Paid Search,7.097893579989383
2019-11,Referral,6.0752776533212804
2019-11,Social,5.651151787261148
2019-12,(Other),5.125285157441036
2019-12,Direct,5.885141899491915
2019-12,Display,4.889439953287806
2019-12,Organic Search,5.909981014329402
2019-12,Paid Search,6.598568869673809
2019-12,Referral,5.908063031567705
2019-12,Social,5.466030911425455
2020-01,(Other),4.976712705758319
2020-01,Direct,5.705674511704635
2020-01,Display,4.84833192622659
2020-01,Email,4.546422317693585
2020-01,Organic Search,6.089037293713966
2020-01,Paid Search,5.445735766263388
2020-01,Referral,5.942027516488585
2020-01,Social,5.0735398562772875
2020-02,(Other),4.896767058503053
2020-02,Direct,5.44680802603303
2020-02,Display,4.619599117196345
2020-02,Email,5.403168281742732
2020-02,Organic Search,6.027277343680065
2020-02,Paid Search,5.246255114748217
2020-02,Referral,5.9621709488727275
2020-02,Social,5.267354364521248
2020-03,(Other),4.704684493026395
2020-03,Direct,5.581759958849578
2020-03,Display,4.707411633457448
2020-03,Email,4.8605960439476785
2020-03,Organic Search,5.969461776434035
2020-03,Paid Search,5.604524990039805
2020-03,Referral,5.725944239723431
2020-03,Social,4.913900505754443
2020-04,(Other),4.771387476582844
2020-04,Direct,5.996749841402711
2020-04,Display,4.604924520791816
2020-04,Email,4.70256545132754
2020-04,Organic Search,5.9429096247836055
2020-04,Paid Search,5.835253377995252
2020-04,Referral,5.308475508454561
2020-04,Social,5.227749592953134
2020-05,(Other),4.843662719036597
2020-05,Direct,5.886251996942269
2020-05,Display,4.627142087376446
2020-05,Email,4.971265884606148
2020-05,Organic Search,6.132100959766899
2020-05,Paid Search,7.166164282061095
2020-05,Referral,6.038405209066868
2020-05,Social,5.128336074282819
2020-06,(Other),5.047600812609523
2020-06,Direct,5.890928693449999
2020-06,Display,5.234298466837797
2020-06,Email,5.313297345287522
2020-06,Organic Search,6.190880146757983
2020-06,Paid Search,6.1673650188803935
2020-06,Referral,6.559223233356079
2020-06,Social,5.167977916733477
2020-07,(Other),4.766523932161756
2020-07,Direct,5.870125699094687
2020-07,Display,5.116467246405469
2020-07,Email,4.302488356585465
2020-07,Organic Search,5.886512280814706
2020-07,Paid Search,4.9808160791875835
2020-07,Referral,5.846950628825944
2020-07,Social,4.848055054096291
2020-08,(Other),4.749595516804856
2020-08,Direct,5.831694700896856
2020-08,Display,5.686627309381391
2020-08,Email,3.9943230801222267
2020-08,Organic Search,5.740354691326151
2020-08,Paid Search,4.819874485932548
2020-08,Referral,5.622281239464931
2020-08,Social,4.756586721224016
2020-09,(Other),4.909768184154279
2020-09,Direct,5.7394516942303335
2020-09,Display,7.221607460737186
2020-09,Email,4.077638191779495
2020-09,Organic Search,5.803259563588588
2020-09,Paid Search,4.817809031743334
2020-09,Referral,5.765692438387343
2020-09,Social,5.021367748347814
2020-10,(Other),5.504162806776566
2020-10,Direct,6.207779092841218
2020-10,Display,5.95357149540368
2020-10,Email,4.549853495492956
2020-10,Organic Search,5.678076891284395
2020-10,Paid Search,5.227706270131979
2020-10,Referral,5.446461228805191
2020-10,Social,4.858183330355245
2020-11,(Other),6.077954747365376
2020-11,Direct,6.436876097246856
2020-11,Display,4.538395512451319
2020-11,Email,4.803120980672716
2020-11,Organic Search,5.558475419726933
2020-11,Paid Search,5.664091376701797
2020-11,Referral,5.461413673425799
2020-11,Social,4.84665121503481
2020-12,(Other),6.342347551869826
2020-12,Direct,6.551027446127639
2020-12,Display,4.651053842868116
2020-12,Email,4.9401181479732
2020-12,Organic Search,5.4940169441203235
2020-12,Paid Search,5.7629823692563225
2020-12,Referral,5.364608787095533
2020-12,Social,4.863561776228513
2021-01,(Other),6.734408113863686
2021-01,Direct,7.096716520277099
2021-01,Display,4.723370854359183
2021-01,Email,4.881486446321138
2021-01,Organic Search,5.548855904088691
2021-01,Paid Search,5.7497484751904615
2021-01,Referral,5.2159854702966335
2021-01,Social,4.824005040323011
2021-02,(Other),6.966830731787946
2021-02,Direct,6.615308758953724
2021-02,Display,4.7085108058249405
2021-02,Email,4.811956414480417
2021-02,Organic Search,5.599660398851463
2021-02,Paid Search,5.688021657412276
2021-02,Referral,5.256084059954729
2021-02,Social,4.847539908960298
2021-03,(Other),7.3708883478339775
2021-03,Direct,6.6893783654644565
2021-03,Display,4.872433185282591
2021-03,Email,5.403348289886394
2021-03,Organic Search,5.635987625394033
2021-03,Paid Search,5.910874742591237
2021-03,Referral,5.105573307227962
2021-03,Social,4.7281679023269
