"Year,month",vertical,seller_type,Leads_per_ad
2019-01,Property,Private,9.286162975247061
2019-01,Property,Pro,7.127574230591639
2019-02,Property,Private,8.889712217497527
2019-02,Property,Pro,7.057473333962557
2019-03,Property,Private,8.706781620753121
2019-03,Property,Pro,6.936356179728031
2019-04,Property,Private,8.754008606913589
2019-04,Property,Pro,6.82121562014512
2019-05,Property,Private,8.290517439725754
2019-05,Property,Pro,6.6453941327066675
2019-06,Property,Private,8.218217143725719
2019-06,Property,Pro,6.687215951994589
2019-07,Property,Private,8.950866897811316
2019-07,Property,Pro,6.805073034249926
2019-08,Property,Private,8.601459064980432
2019-08,Property,Pro,6.637350706803299
2019-09,Property,Private,8.76458947775503
2019-09,Property,Pro,6.807093134866359
2019-10,Property,Private,8.658719238963931
2019-10,Property,Pro,6.656225160958304
2019-11,Property,Private,8.7222695654091
2019-11,Property,Pro,6.739914253937359
2019-12,Property,Private,9.078986189634772
2019-12,Property,Pro,7.062829281463615
2020-01,Property,Private,8.950813966489422
2020-01,Property,Pro,6.98136065342183
2020-02,Property,Private,8.940313170600712
2020-02,Property,Pro,6.847670787559458
2020-03,Property,Private,7.8016950513992
2020-03,Property,Pro,6.48935085710709
2020-04,Property,Private,6.995341977535145
2020-04,Property,Pro,6.498671593737333
2020-05,Property,Private,8.589821953883966
2020-05,Property,Pro,7.400983119522177
2020-06,Property,Private,9.673761447377354
2020-06,Property,Pro,7.477864073418794
2020-07,Property,Private,8.6650940788956
2020-07,Property,Pro,6.386309658116844
2020-08,Property,Private,8.524264818691908
2020-08,Property,Pro,6.346492708678167
2020-09,Property,Private,8.910919141489732
2020-09,Property,Pro,6.415963447873594
2020-10,Property,Private,8.61235249862798
2020-10,Property,Pro,6.247889869072944
2020-11,Property,Private,9.549627715882327
2020-11,Property,Pro,6.561018888909282
2020-12,Property,Private,9.731321438213179
2020-12,Property,Pro,6.983899212294709
2021-01,Property,Private,9.968083587069664
2021-01,Property,Pro,7.205296295051647
2021-02,Property,Private,10.269927165110122
2021-02,Property,Pro,7.176177779940704
2021-03,Property,Private,10.450818971278181
2021-03,Property,Pro,7.5003740007023785
